,Year,Season,Site,Depth,Transect..,Meter.Mark,Coral,Algae,Algae.Functional.Group,CoralAlgae,Maximum.colony.diameter,Length.of.edge.in.contact,Outcome,Proportion of colony in contact
48,2015,Spring,Harry's Bommie 8m,8,2,13.6,Acropora,filamentous,filamentous,Acrfila,0.42,0.1,0,0.238095238
49,2015,Spring,Harry's Bommie 8m,8,2,13.6,Acropora,filamentous,filamentous,Acrfila,0.42,0.1,0,0.238095238
50,2015,Spring,Harry's Bommie 8m,8,2,13.6,Acropora,filamentous,filamentous,Acrfila,0.42,0.1,0,0.238095238
51,2015,Spring,Harry's Bommie 8m,8,2,13.6,Acropora,filamentous,filamentous,Acrfila,0.42,0.1,0,0.238095238
52,2015,Spring,Harry's Bommie 8m,8,3,0.8,Acropora,filamentous,filamentous,Acrfila,0.3,0.03,0,0.1
53,2015,Spring,Harry's Bommie 8m,8,3,0.8,Acropora,filamentous,filamentous,Acrfila,0.3,0.03,0,0.1
54,2015,Spring,Harry's Bommie 8m,8,3,0.8,Acropora,filamentous,filamentous,Acrfila,0.3,0.03,0,0.1
55,2015,Spring,Harry's Bommie 8m,8,3,2.5,Acropora,filamentous,filamentous,Acrfila,0.21,0.02,0,0.095238095
56,2015,Spring,Harry's Bommie 8m,8,3,2.5,Acropora,filamentous,filamentous,Acrfila,0.21,0.02,0,0.095238095
57,2015,Spring,Harry's Bommie 8m,8,3,6.5,Seriatopora,filamentous,filamentous,Serfila,0.15,0.07,0,0.466666667
58,2015,Spring,Harry's Bommie 8m,8,3,7.2,Echinopora,filamentous,filamentous,Echfila,0.25,0.04,0,0.16
59,2015,Spring,Harry's Bommie 8m,8,3,7.2,Echinopora,filamentous,filamentous,Echfila,0.25,0.04,0,0.16
60,2015,Spring,Harry's Bommie 8m,8,3,7.2,Echinopora,filamentous,filamentous,Echfila,0.25,0.04,0,0.16
61,2015,Spring,Harry's Bommie 8m,8,3,7.9,Favites,filamentous,filamentous,Favtfila,0.04,0.03,0,0.75
62,2015,Spring,Harry's Bommie 8m,8,3,8.8,Seriatopora,filamentous,filamentous,Serfila,0.12,0.06,0,0.5
63,2015,Spring,Harry's Bommie 8m,8,3,8.8,Seriatopora,filamentous,filamentous,Serfila,0.12,0.06,0,0.5
64,2015,Spring,Harry's Bommie 8m,8,3,10.1,Seriatopora,filamentous,filamentous,Serfila,0.1,0.05,0,0.5
65,2015,Spring,Harry's Bommie 8m,8,3,10.1,Seriatopora,filamentous,filamentous,Serfila,0.1,0.05,0,0.5
66,2015,Spring,Harry's Bommie 8m,8,3,11.2,Acropora,Chlorodesmis fastigiata,corticated foliose algae,AcrCfas,0.5,0.05,0,0.1
67,2015,Spring,Harry's Bommie 8m,8,3,11.2,Acropora,Chlorodesmis fastigiata,corticated foliose algae,AcrCfas,0.5,0.05,0,0.1
68,2015,Spring,Harry's Bommie 8m,8,3,11.2,Seriatopora,Lobophora,leathery macrophyte,SerLob,0.2,0.1,0,0.5
69,2015,Spring,Harry's Bommie 8m,8,3,14.4,Acropora,Lobophora,leathery macrophyte,AcrLob,0.3,0.02,1,0.066666667
70,2015,Spring,Harry's Bommie 5m,5,1,0.8,Acropora,Peyssonnelia,crustose,AcrPey,0.5,0.06,1,0.12
71,2015,Spring,Harry's Bommie 5m,5,1,0.8,Acropora,CCA,crustose,AcrCCA,0.5,0.04,1,0.08
72,2015,Spring,Harry's Bommie 5m,5,1,0.8,Acropora,CCA,crustose,AcrCCA,0.5,0.04,1,0.08
